(Pittsburgh,1.3643195266272197)
(Seattle,1.4425739644970408)
(Orlando,1.5062130177514785)
(SanFrancisco,1.8042011834319525)
(SouthCentral,1.1012426035502958)
(BaltimoreWashington,1.5342307692307684)
(MiamiFtLauderdale,1.428491124260355)
(NewOrleansMobile,1.3047928994082851)
(Roanoke,1.2479289940828397)
(Portland,1.3177218934911241)
(Syracuse,1.5203254437869826)
(Charlotte,1.6060355029585796)
(NorthernNewEngland,1.4773964497041419)
(RichmondNorfolk,1.2913313609467465)
(Chicago,1.5567751479289942)
(WestTexNewMexico,1.2617014925373136)
(Detroit,1.2760946745562132)
(PhoenixTucson,1.224437869822485)
(Atlanta,1.3379585798816571)
(Indianapolis,1.313994082840236)
(NewYork,1.727573964497041)
(SouthCarolina,1.4032840236686406)
(California,1.3953254437869818)
(Columbus,1.2527810650887576)
(DallasFtWorth,1.0855917159763315)
(Denver,1.2185798816568048)
(HartfordSpringfield,1.8186390532544363)
(HarrisburgScranton,1.5132840236686393)
(LasVegas,1.3809171597633145)
(Spokane,1.4455917159763314)
(StLouis,1.4306213017751486)
(Midsouth,1.4047633136094666)
(GrandRapids,1.5049999999999992)
(CincinnatiDayton,1.2092011834319527)
(Philadelphia,1.6321301775147927)
(Sacramento,1.6215680473372784)
(Houston,1.0479289940828398)
(GreatLakes,1.3385502958579882)
(LosAngeles,1.216005917159763)
(TotalUS,1.319023668639053)
(Plains,1.4365088757396456)
(West,1.2722189349112432)
(Boise,1.348136094674556)
(Nashville,1.2121005917159768)
(Louisville,1.286686390532545)
(Tampa,1.4088461538461536)
(Northeast,1.6019230769230774)
(BuffaloRochester,1.5168343195266274)
(RaleighGreensboro,1.555118343195266)
(Boston,1.5308875739644972)
(Jacksonville,1.5109467455621308)
(SanDiego,1.3981656804733738)
(Albany,1.5610355029585792)
(Southeast,1.39801775147929)
